CATEGORY,OVERALL_CATEGORY
MEAL_HOLDER,Home & Living
COSMETIC_CASE,Health & Personal Care
HAIR_TRIMMER,Health & Personal Care
LIP_BALM,Health & Personal Care
STAPLER,Specialty Categories
HOME,Home & Living
CARRIER_BAG_CASE,Fashion & Accessories
POWER_STRIP,Electronics & Media
POTABLE_WATER_FILTER,Home & Living
HAIR_EXTENSION,Health & Personal Care
WATER_FLOTATION_DEVICE,Sports & Outdoors
ELECTRONIC_CABLE,Electronics & Media
PILLOW_PROTECTOR,Home & Living
ANIMAL_WATER_DISPENSER,Specialty Categories
HAIR_TRIMMING_KIT,Health & Personal Care
VIDEO_GAME_CONTROLLER,Electronics & Media
BREAKFAST_CEREAL,Food & Grocery
STRING_LIGHT,Home & Living
HAIR_BRUSH,Health & Personal Care
EXERCISE_MAT,Health & Personal Care
PILLOW,Home & Living
SCISSORS,Specialty Categories
CONTAINER_LID,Home & Living
DIGITAL_DEVICE_3,Electronics & Media
VDO_DEVICES,Electronics & Media
TOOTHBRUSH_HOLDER,Health & Personal Care
MULTIPORT_HUB,Electronics & Media
DOWNLOADABLE_VIDEO_GAME,Electronics & Media
WIND_CHIME,Home & Living
MECHANICAL_LIGHTER,Home & Living
HANGING_ORNAMENT,Home & Living
SKIN_MOISTURIZER,Health & Personal Care
FIRE_SCREEN,Home & Living
SKIN_FOUNDATION_CONCEALER,Health & Personal Care
CAKE_TOPPER,Food & Grocery
ANIMAL_HARNESS,Specialty Categories
SNACK_CHIP_AND_CRISP,Food & Grocery
POULTRY,Food & Grocery
MARKING_PEN,Specialty Categories
WASTE_BAG,Home & Living
BOXING_GLOVE,Sports & Outdoors
LIP_COLOR,Health & Personal Care
DAIRY_BASED_PUDDING,Food & Grocery
PORTABLE_ELECTRONIC_DEVICE_COVER,Electronics & Media
NUT_AND_SEED,Food & Grocery
TOPICAL_HAIR_REGROWTH_TREATMENT,Health & Personal Care
HERBAL_SUPPLEMENT,Health & Personal Care
WATCH_BAND,Fashion & Accessories
LAB_CHEMICAL,Specialty Categories
EARMUFF,Fashion & Accessories
SOUND_AND_RECORDING_EQUIPMENT,Electronics & Media
EDIBLE_OIL_VEGETABLE,Food & Grocery
WAIST_CINCHER,Fashion & Accessories
SWEATSHIRT,Fashion & Accessories
THERMOS,Home & Living
DISHWASHER_DETERGENT,Home & Living
TABLECLOTH,Home & Living
FOOD_COLORING,Food & Grocery
ANIMAL_COLLAR,Specialty Categories
POPCORN,Food & Grocery
STORAGE_BINDER,Specialty Categories
DISHWARE_PLACE_SETTING,Home & Living
NUT_BUTTER,Food & Grocery
WEATHER_STRIPPING,Home & Living
WHISK_UTENSIL,Home & Living
PAPER_TOWEL,Home & Living
CARD_STOCK,Specialty Categories
HARDWARE_TUBING,Home & Living
HVAC_AIR_FILTER,Home & Living
FOOD_STORAGE_CONTAINER,Home & Living
DRINKING_CUP,Home & Living
TOY_FIGURE,Entertainment & Hobbies
INPUT_MOUSE,Electronics & Media
ANIMAL_CAGE,Specialty Categories
LIQUID_INK,Specialty Categories
MOUNT_BRACKET,Home & Living
PAINT,Home & Living
GARDEN_SHEAR_SCISSORS,Home & Living
MICROPHONE_STAND,Electronics & Media
RING,Fashion & Accessories
SANDAL,Fashion & Accessories
PORTABLE_VIDEO_DISC_PLAYER,Electronics & Media
CONDOM,Health & Personal Care
OUTDOOR_RECREATION_PRODUCT,Sports & Outdoors
MECHANICAL_FASTENERS,Home & Living
FRUIT_SNACK,Food & Grocery
TWEEZER,Health & Personal Care
CANNED_AIR,Specialty Categories
SOCKS,Fashion & Accessories
DISHWARE_BOWL,Home & Living
NETWORK_INTERFACE_CONTROLLER_ADAPTER,Electronics & Media
SAUCE,Food & Grocery
ABRASIVE_WHEELS,Home & Living
EARRING,Fashion & Accessories
GOLF_CLUB,Sports & Outdoors
WALLPAPER,Home & Living
WILDLIFE_FEEDER,Home & Living
ART_SUPPLIES,Entertainment & Hobbies
MACHINE_LUBRICANT,Home & Living
CARGO_NET,Specialty Categories
SAUTE_FRY_PAN,Home & Living
CONSOLE_VIDEO_GAMES,Electronics & Media
BLAZER,Fashion & Accessories
TOY_VEHICLE_SET,Entertainment & Hobbies
STORAGE_BAG,Home & Living
LAMP,Home & Living
ASTRINGENT_SUBSTANCE,Health & Personal Care
BAKING_CHOCOLATE,Food & Grocery
GAMING_EQUIPMENT_ENCLOSURE,Electronics & Media
NOODLE,Food & Grocery
WIRELESS_ACCESSORY,Electronics & Media
EYELID_COLOR,Health & Personal Care
CUTTING_BOARD,Home & Living
FURNITURE_LEG,Home & Living
MASSAGER,Health & Personal Care
HIP_FLASK,Home & Living
BASKET,Home & Living
SALAD_DRESSING,Food & Grocery
PROFESSIONAL_HEALTHCARE,Health & Personal Care
NECKLACE,Fashion & Accessories
DYE,Entertainment & Hobbies
BED_FRAME,Home & Living
RADIO,Electronics & Media
SEWING_PATTERN,Entertainment & Hobbies
PESTICIDE,Home & Living
COSTUME_OUTFIT,Fashion & Accessories
ABIS_GIFT_CARD,Gifts & Occasions
BEDDING_SET,Home & Living
SKIN_CARE_AGENT,Health & Personal Care
MASCARA,Health & Personal Care
SUITCASE,Fashion & Accessories
NON_RIDING_TOY_VEHICLE,Entertainment & Hobbies
UTILITY_SPONGE,Home & Living
SLEEP_MASK,Health & Personal Care
PLUG_STOPPER,Home & Living
SECURITY_CAMERA,Electronics & Media
APPAREL_HEAD_NECK_COVERING,Fashion & Accessories
PACKAGED_SOUP_AND_STEW,Food & Grocery
PEST_CONTROL_DEVICE,Home & Living
TABLE,Home & Living
WEIGH_SCALE,Home & Living
VEHICLE_LIGHT_BULB,Specialty Categories
TOILET_PAPER,Home & Living
RESPIRATOR,Health & Personal Care
TREE_SKIRT,Home & Living
KEYCHAIN,Fashion & Accessories
FLOUR,Food & Grocery
HEAT_SINK,Electronics & Media
STEAM_CLEANER,Home & Living
LEASH,Specialty Categories
OFFICE_ELECTRONICS,Specialty Categories
LOCK,Home & Living
BONDING_ADHESIVES,Home & Living
AIR_PURIFIER,Home & Living
ART_AND_CRAFT_SUPPLY,Entertainment & Hobbies
COFFEE_MAKER,Home & Living
LAUNDRY_DETERGENT,Home & Living
LIGHT_FIXTURE,Home & Living
AMAZON_BOOK_READER,Electronics & Media
AMAZON_TABLET_ACCESSORY,Electronics & Media
DIGITAL_DEVICE_3_ACCESSORY,Electronics & Media
HAT,Fashion & Accessories
CLEANING_BRUSH,Home & Living
CAMERA_SUPPORT,Electronics & Media
INSULATION,Home & Living
ANIMAL_LITTER,Specialty Categories
STANDALONE_STREAMING_MEDIA_PLAYER,Electronics & Media
SYRINGE,Health & Personal Care
UNDERWEAR,Fashion & Accessories
HERB,Food & Grocery
ELECTRIC_HEATING_PAD,Health & Personal Care
ANTI_FATIGUE_FLOOR_MAT,Home & Living
AV_SIGNAL_SWITCH,Electronics & Media
ABIS_DVD,Electronics & Media
FOOD_SHAKER,Home & Living
FALSE_NAIL,Health & Personal Care
PERSONAL_FRAGRANCE,Health & Personal Care
FLASHLIGHT,Home & Living
PET_BED_MAT,Specialty Categories
DAIRY_BASED_YOGURT,Food & Grocery
GARLIC_PRESS,Home & Living
WHEEL_CUTTER,Home & Living
ANIMAL_PERCH,Specialty Categories
SPORT_HELMET,Sports & Outdoors
MUSICAL_INSTRUMENT_TOY,Entertainment & Hobbies
YARN,Entertainment & Hobbies
ITEM_STAND,Home & Living
CURTAIN,Home & Living
HARDWARE_HANDLE,Home & Living
WINDOW_FILM,Home & Living
SIGNAGE,Home & Living
MANUAL_SHAVING_RAZOR,Health & Personal Care
WATER,Food & Grocery
ESSENTIAL_OIL,Health & Personal Care
NON_DAIRY_CREAM,Food & Grocery
INCENSE_HOLDER,Home & Living
SEWING_MACHINE,Home & Living
PET_PLAYPEN,Specialty Categories
BREAST_PUMP,Specialty Categories
BATTERY_CHARGER,Electronics & Media
RAZOR_BLADE_CARTRIDGE,Health & Personal Care
FLAT_SCREEN_DISPLAY_MOUNT,Electronics & Media
BLADED_FOOD_PEELER,Home & Living
PET_ACTIVITY_STRUCTURE,Specialty Categories
CHARM,Fashion & Accessories
FIDGET_TOY,Entertainment & Hobbies
ELECTRICAL_PLUG,Home & Living
SAFETY_GLASSES,Home & Living
GLITTER,Entertainment & Hobbies
TOOTHBRUSH_HEAD,Health & Personal Care
BAR_CODE_READER,Specialty Categories
FOOD_WRAP,Home & Living
DRINK_COASTER,Home & Living
TAMPON,Health & Personal Care
SHIN_GUARD,Sports & Outdoors
SOIL,Home & Living
APPAREL,Fashion & Accessories
BAKING_MIX,Food & Grocery
WAIST_PACK,Fashion & Accessories
MONITOR,Electronics & Media
CONCENTRATED_FLAVORING_SUBSTANCE,Food & Grocery
FIGURINE,Home & Living
PLANT_SEED,Home & Living
ONE_PIECE_OUTFIT,Fashion & Accessories
SHOE_ACCESSORY,Fashion & Accessories
SIM_CARD,Electronics & Media
COUNTERTOP_FOOD_STEAMER,Home & Living
FURNITURE,Home & Living
ROLLING_PAPER,Specialty Categories
BOOT,Fashion & Accessories
COMPUTER_COOLING_DEVICE,Electronics & Media
PHYSICAL_TV_SERIES,Electronics & Media
HAIR_IRON,Health & Personal Care
KEYBOARD_MOUSE_SET,Electronics & Media
CARD_DOCUMENT_SLEEVE,Specialty Categories
CONDIMENT,Food & Grocery
WRITING_BOARD,Specialty Categories
FASTENER_DRIVE_BIT,Home & Living
CLOCK,Home & Living
SKIN_BLEMISH_REMOVAL_TOOL,Health & Personal Care
LEOTARD,Fashion & Accessories
HANGING_MOBILE,Specialty Categories
FLASH_MEMORY,Electronics & Media
INSECT_REPELLENT,Home & Living
DISPOSABLE_INCONTINENCE_SURFACE_PROTECTOR,Health & Personal Care
SURFACE_CLEANING_WIPE,Home & Living
CANDLE,Home & Living
FLASH_DRIVE,Electronics & Media
BODY_LUBRICANT,Health & Personal Care
PROTECTIVE_GLOVE,Home & Living
WRIST_REST,Specialty Categories
CROCHET_HOOK,Entertainment & Hobbies
KEYBOARDS,Electronics & Media
LEGUME,Food & Grocery
MILK_SUBSTITUTE,Food & Grocery
SWEATER,Fashion & Accessories
PLUMBING_FIXTURE,Home & Living
COOKIE_CUTTER,Home & Living
MATTRESS,Home & Living
TEMPORARY_GATE,Specialty Categories
TOTE_BAG,Fashion & Accessories
AUTO_ACCESSORY,Specialty Categories
UTILITY_KNIFE,Home & Living
BLANK_BOOK,Entertainment & Hobbies
PENCIL_SHARPENER,Specialty Categories
IRONING_BOARD,Home & Living
WALL_PLATE,Home & Living
OTTOMAN,Home & Living
FALSE_EYELASH,Health & Personal Care
KITCHEN_KNIFE,Home & Living
CE_ACCESSORY,Electronics & Media
CULINARY_SALT,Food & Grocery
SANDER,Home & Living
SURVIVAL_KIT,Home & Living
JERKY,Food & Grocery
PICTURE_FRAME,Home & Living
COMPUTER,Electronics & Media
ADVENT_CALENDAR,Gifts & Occasions
BOOKS_1973_AND_LATER,Entertainment & Hobbies
SLIPPER,Fashion & Accessories
LITTER_BOX,Specialty Categories
ICE_CUBE_TRAY,Home & Living
WATER_PLAY_SPRINKLER,Home & Living
FAUCET,Home & Living
ACCESSORY,
BLOOD_OXYGEN_MONITOR,Health & Personal Care
RECREATION_BALL,Sports & Outdoors
BINOCULAR,Specialty Categories
SCREWS,Home & Living
HOME_LIGHTING_ACCESSORY,Home & Living
BARBECUE_TOOL_SET,Home & Living
DESK,Home & Living
TIRE_VALVE_STEM_CAP,Specialty Categories
SNACK_MIX,Food & Grocery
ELECTRIC_LIGHT,Home & Living
SKIN_SERUM,Health & Personal Care
COOKIE,Food & Grocery
PIERCING_JEWELRY,Fashion & Accessories
CLOTHES_HANGER,Home & Living
MATERIAL_HANDLING_TRUCK,Home & Living
PORTABLE_ELECTRONIC_DEVICE_MOUNT,Electronics & Media
BUILDING_MATERIAL,Home & Living
INPUT_PEN,Electronics & Media
VACUUM_FILTER,Home & Living
FOOD_BLENDER,Home & Living
TOY_BUILDING_BLOCK,Entertainment & Hobbies
DIGITAL_DEVICE_4,Electronics & Media
BODY_CARE_PRODUCT,Health & Personal Care
ELECTRONIC_COMPONENT_FAN,Electronics & Media
SUNGLASSES,Fashion & Accessories
ASHTRAY,Home & Living
FACIAL_TISSUE,Home & Living
GOLF_PRACTICE_MAT,Sports & Outdoors
APPAREL_BELT,Fashion & Accessories
COLLECTIBLE_CARD,Entertainment & Hobbies
SEASONING,Food & Grocery
TUNIC,Fashion & Accessories
ANIMAL_NUTRITIONAL_SUPPLEMENT,Specialty Categories
MULTITOOL,Home & Living
ELECTRONIC_COMPONENT_TERMINAL,Electronics & Media
MILK_FROTHER,Home & Living
PRETEND_PLAY_TOY,Entertainment & Hobbies
SKIRT,Fashion & Accessories
ORTHOPEDIC_BRACE,Health & Personal Care
LAUNDRY_HAMPER,Home & Living
SUGAR_SUBSTITUTE,Food & Grocery
JEWELRY_FINDING,Fashion & Accessories
JUICE_AND_JUICE_DRINK,Food & Grocery
BALLOON,Gifts & Occasions
POWER_CONVERTER,Electronics & Media
VEHICLE_SEAT_COVER,Specialty Categories
STORAGE_HOOK,Home & Living
COTTON_PAD,Health & Personal Care
TRADING_CARDS_MISC_TRADING_CARDS,Entertainment & Hobbies
MEASURING_CUP,Home & Living
PERSONAL_PILL_DISPENSER,Health & Personal Care
WRENCH,Home & Living
PEN_MARKER_INK_CARTRIDGE_REFILL,Specialty Categories
COOKING_CONTAINER,Home & Living
CHAIR,Home & Living
PLANTER,Home & Living
HAIRBAND,Health & Personal Care
BOTTLE,Home & Living
BODY_POSITIONER,Specialty Categories
MUSICAL_INSTRUMENTS,Entertainment & Hobbies
DIGITAL_DEVICE_5_ACCESSORY,Electronics & Media
HANGING_ROD,Home & Living
SUNSCREEN,Health & Personal Care
HAIR_COLORING_AGENT,Health & Personal Care
CHOPSTICK,Home & Living
TILE,Home & Living
MICROPHONE,Electronics & Media
DECORATIVE_MAGNET,Home & Living
SPORT_FACE_MASK,Sports & Outdoors
DIMENSIONAL_MEASUREMENT_CALIPER,Home & Living
SPEAKERS,Electronics & Media
PET_PEST_CONTROL,Specialty Categories
REMOTE_CONTROL,Electronics & Media
AUTO_PART,Specialty Categories
MINIATURE_TOY_BUILDING,Entertainment & Hobbies
HOSE_PIPE_FITTING,Home & Living
AIR_MATTRESS,Home & Living
EGG,Food & Grocery
HAIR_CLEANER_CONDITIONER,Health & Personal Care
PORTABLE_ELECTRONIC_DEVICE_STAND,Electronics & Media
DECORATIVE_SIGNAGE,Home & Living
MATTRESS_COVER,Home & Living
WIRELESS_AUDIO_ADAPTER,Electronics & Media
DRINKING_STRAW,Home & Living
SHOVEL_SPADE,Home & Living
ELECTRIC_FOOD_MILL_GRINDER,Home & Living
JUICER,Home & Living
AUTO_KEY_SHELL,Specialty Categories
SYSTEM_POWER_DEVICE,Electronics & Media
STEERING_WHEEL_COVER,Specialty Categories
PARTY_SUPPLIES,Gifts & Occasions
PAINT_BRUSH,Entertainment & Hobbies
POWER_CORD,Electronics & Media
RAW_MATERIALS,Entertainment & Hobbies
TOILET_SEAT,Home & Living
PILLOWCASE,Home & Living
ELECTRONIC_DEVICE_SKIN,Electronics & Media
POT_HOLDER,Home & Living
TRAY,Home & Living
RICE_COOKERS,Home & Living
DRYING_RACK,Home & Living
INDUSTRIAL_CASTERS,Home & Living
TRACK_SUIT,Fashion & Accessories
PINBOARD,Specialty Categories
BOOKEND,Specialty Categories
SPORT_ACTIVITY_GLOVE,Sports & Outdoors
TABLET_COMPUTER,Electronics & Media
COSMETIC_NAIL_SET,Health & Personal Care
HAIR_CLIP,Health & Personal Care
SWIM_FIN,Sports & Outdoors
ELECTRONIC_SENSOR,Electronics & Media
COOKWARE,Home & Living
HOME_LIGHTING_AND_LAMPS,Home & Living
PALETTE_PUTTY_KNIFE,Home & Living
PET_FEEDER,Specialty Categories
GAME_DICE,Entertainment & Hobbies
AIR_FRYER,Home & Living
HOBBIES,
FUSE,Electronics & Media
ROLLER_SKATE,Entertainment & Hobbies
BABY_SEAT,Specialty Categories
ABRASIVES,Home & Living
MICROSCOPES,Specialty Categories
FABRIC_SOFTENER,Home & Living
BODY_STRAP,Health & Personal Care
RIDE_ON_TOY,Entertainment & Hobbies
FOOD_MIXER,Home & Living
BASE_LAYER_APPAREL_SET,Fashion & Accessories
REFRIGERATOR,Home & Living
POOL_SPA_WATER_TREATMENT,Home & Living
AROMA_DIFFUSER,Home & Living
PACKING_MATERIAL,Home & Living
DISHWARE_PLATE,Home & Living
HOUSEHOLD_STAIN,Home & Living
SHOELACE,Fashion & Accessories
OIL_FILTER,Specialty Categories
ABIS_DOWNLOADABLE_SOFTWARE,Electronics & Media
HAIR_CARE_AGENT,Health & Personal Care
HANDBAG,Fashion & Accessories
AREA_DEODORIZER,Home & Living
SURFACE_PROTECTION_WAX,Specialty Categories
BOOKMARK,Specialty Categories
ERASER,Specialty Categories
HEADPHONE_EARPAD,Electronics & Media
BREAST_PETAL,Health & Personal Care
STORAGE_RACK,Home & Living
NAIL_POWDER,Health & Personal Care
MOUTHWASH,Health & Personal Care
SPORT_EQUIPMENT_BAG_CASE,Sports & Outdoors
DIETARY_SUPPLEMENTS,Health & Personal Care
VEHICLE_WIND_DEFLECTOR,Specialty Categories
SUGAR,Food & Grocery
KNIFE_BLOCK_SET,Home & Living
NAIL_CLIPPER,Health & Personal Care
SEWING_BUTTON,Entertainment & Hobbies
ROTATING_TRAY,Home & Living
ELECTRONIC_SWITCH,Electronics & Media
SHOE_INSERT,Fashion & Accessories
TOOTH_WHITENER,Health & Personal Care
UMBRELLA,Fashion & Accessories
TASK_TRAY,Specialty Categories
PRINT_COPY_PAPER,Specialty Categories
CHAINSAW_CHAIN,Home & Living
DRAIN_OPENER_SUBSTANCE,Home & Living
ENEMA_DOUCHE,Health & Personal Care
UTILITY_HOLSTER_POUCH,Home & Living
HARD_DRIVE_ENCLOSURE,Electronics & Media
CAKE,Food & Grocery
CORRECTIVE_EYEGLASSES,Health & Personal Care
TRACTION_CLEAT,Fashion & Accessories
COSTUME_MASK,Fashion & Accessories
FOOD_PROCESSOR,Home & Living
SCULPTING_MATERIAL,Entertainment & Hobbies
CONSUMER_ELECTRONICS,Electronics & Media
FOOTWEAR_CARE_KIT,Fashion & Accessories
SUIT,Fashion & Accessories
VIDEO_GAME_CONSOLE,Electronics & Media
INTERNAL_MEMORY,Electronics & Media
AUTO_OIL,Specialty Categories
COORDINATED_OUTFIT,Fashion & Accessories
FABRIC,Entertainment & Hobbies
ANIMAL_INCONTINENCE_PROTECTOR,Specialty Categories
EXERCISE_BAND,Health & Personal Care
TOY_GUN,Entertainment & Hobbies
PRESSURE_COOKER,Home & Living
MAKE_UP,Health & Personal Care
WEED_MOSS_CONTROL_AGENT,Home & Living
FITTED_SHEET,Home & Living
PITCHER,Home & Living
SYRUP,Food & Grocery
SPOON,Home & Living
CALENDAR,Specialty Categories
TEMPLATE_STENCIL,Entertainment & Hobbies
MEDICAL_TEST_STRIP,Health & Personal Care
SAW,Home & Living
LAWN_MOWER,Home & Living
FOOD_PREPARATION_MOLD,Home & Living
MECHANICAL_COMPONENTS,Home & Living
WIRE_STRIPPER,Home & Living
SKIN_PROTECTANT,Health & Personal Care
ANCHOR_STAKE,Home & Living
ELECTRICAL_OUTLET,Home & Living
GUN_HOLSTER,Health & Personal Care
BADGE_HOLDER,Specialty Categories
CARPET_UPHOLSTERY_CLEANING_MACHINE,Home & Living
SLOW_COOKER,Home & Living
JUMP_ROPE,Health & Personal Care
CEREAL,Food & Grocery
ANIMAL_FUR_CLEANER_CONDITIONER,Specialty Categories
VACUUM_CLEANER,Home & Living
PLANNER,Specialty Categories
FISHING_EQUIPMENT,Sports & Outdoors
SHOWERHEAD,Home & Living
BLOWTORCH,Home & Living
BABY_BOTTLE,Specialty Categories
CAMERA_CONTINUOUS_LIGHT,Electronics & Media
BANNER,Gifts & Occasions
SELF_DEFENSE_SPRAY,Health & Personal Care
HONEY,Food & Grocery
INDOOR_GROW_ENCLOSURE,Home & Living
MP3_PLAYER,Electronics & Media
COMPUTER_CHASSIS,Electronics & Media
AIR_CONDITIONER,Home & Living
SUSPENDER,Fashion & Accessories
PROTEIN_DRINK,Health & Personal Care
CARABINER,Home & Living
BICYCLE_SEATPOST,Sports & Outdoors
THERAPEUTIC_THERMAL_COMPRESS,Health & Personal Care
DRY_SHAMPOO,Health & Personal Care
TEACHING_EQUIPMENT,Specialty Categories
FABRIC_APPLIQUE_PATCH,Entertainment & Hobbies
SNORKELING_SET,Sports & Outdoors
FOOD_SLICER,Home & Living
LEAF_BLOWER,Home & Living
BATH_TOY,Specialty Categories
BRASS_AND_WOODWIND_INSTRUMENTS,Entertainment & Hobbies
ENVELOPE,Specialty Categories
TOY_FIGURE_PLAYSET,Entertainment & Hobbies
CONTACT_LENS_CLEANER,Health & Personal Care
YO_YO,Entertainment & Hobbies
CRAFT_WOOD,Entertainment & Hobbies
FLATWARE,Home & Living
VEHICLE_TIRE,Specialty Categories
GRAPHIC_TABLET,Electronics & Media
TAPE_LABEL_DISPENSER,Specialty Categories
CANDLE_HOLDER,Home & Living
BICYCLE,Sports & Outdoors
JAR,Home & Living
LINT_REMOVER,Home & Living
WATER_PURIFICATION_UNIT,Home & Living
WEARABLE_WEIGHT,Health & Personal Care
SPARK_PLUG,Specialty Categories
AMAZON_TABLET,Electronics & Media
Grocery,Food & Grocery
PAPER_CLIP_CLAMP,Specialty Categories
HOOK_LOOP_FASTENER,Specialty Categories
